,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.3439291655747998,-0.36174925431805605,0.6464465907588242,0.2674132017690096,0.6555979673513455,0.6003531867250284,-0.12277318705930071,0.28669775736149283,-0.11021123503963111,0.07260446254132655,0.949823447777669,-0.16258125495060974,-0.09770434407024844
Total citations,0.3439291655747998,1.0,0.3710339717832329,0.5937948035507106,-0.2873525723983113,-0.14607381728824495,-0.07782275639519039,-0.5607917590025028,-0.4657431793998228,-0.4770413431902645,0.13279692890482436,0.4433938406584938,0.614984720156744,0.6233664588628604
Median citations,-0.36174925431805605,0.3710339717832329,1.0,0.27422647450399124,-0.31382562483196264,-0.4181899039127563,-0.2383965165777409,-0.5300917837904257,-0.5187913866801673,-0.3765180093633361,0.20295849948867095,-0.2042341967866722,0.6288012008215115,0.5903792959308515
h-index,0.6464465907588242,0.5937948035507106,0.27422647450399124,1.0,0.08128574550866864,0.45024958965769435,0.5827388576274141,-0.4640386021360403,-0.037356862972381576,-0.33611853478604087,0.2661076158334283,0.8071040387481423,0.17018685900450614,0.25885894264592235
h-frac-index,0.2674132017690096,-0.2873525723983113,-0.31382562483196264,0.08128574550866864,1.0,0.6719041431125695,0.40128609498081086,0.47331374899356404,0.7248984387544127,0.49018138491452673,-0.34151629389387006,0.2216670969146067,-0.5078029741104628,-0.426457709197102
hm-index,0.6555979673513455,-0.14607381728824495,-0.4181899039127563,0.45024958965769435,0.6719041431125695,1.0,0.8366702324679889,0.30943326616705663,0.7771670727509017,0.2767298481265928,-0.15729168825374087,0.6824666497326255,-0.6570030867325303,-0.5715227015341062
h-leadership-index,0.6003531867250284,-0.07782275639519039,-0.2383965165777409,0.5827388576274141,0.40128609498081086,0.8366702324679889,1.0,-0.05068990184971231,0.4784067054552176,-0.07058620327840469,0.2786829645377637,0.6781571284518441,-0.6574662002942648,-0.6042740365662735
% first author,-0.12277318705930071,-0.5607917590025028,-0.5300917837904257,-0.4640386021360403,0.47331374899356404,0.30943326616705663,-0.05068990184971231,1.0,0.6851344039687588,0.926679499281161,-0.4449731401166787,-0.20454606837808548,-0.46355017628689205,-0.4258157400484315
% last author,0.28669775736149283,-0.4657431793998228,-0.5187913866801673,-0.037356862972381576,0.7248984387544127,0.7771670727509017,0.4784067054552176,0.6851344039687588,1.0,0.6874544905972676,-0.2923095655408124,0.21851068340919558,-0.7280436344881139,-0.6317487826193653
% single author,-0.11021123503963111,-0.4770413431902645,-0.3765180093633361,-0.33611853478604087,0.49018138491452673,0.2767298481265928,-0.07058620327840469,0.926679499281161,0.6874544905972676,1.0,-0.3253734028926091,-0.18494297016956265,-0.3207954586835695,-0.27145389482219817
Median author position,0.07260446254132655,0.13279692890482436,0.20295849948867095,0.2661076158334283,-0.34151629389387006,-0.15729168825374087,0.2786829645377637,-0.4449731401166787,-0.2923095655408124,-0.3253734028926091,1.0,0.11757267285508474,0.020183262693742897,-0.01947310974249688
i10-index,0.949823447777669,0.4433938406584938,-0.2042341967866722,0.8071040387481423,0.2216670969146067,0.6824666497326255,0.6781571284518441,-0.20454606837808548,0.21851068340919558,-0.18494297016956265,0.11757267285508474,1.0,-0.10822013637812608,-0.03848758416955787
Average number of Authors,-0.16258125495060974,0.614984720156744,0.6288012008215115,0.17018685900450614,-0.5078029741104628,-0.6570030867325303,-0.6574662002942648,-0.46355017628689205,-0.7280436344881139,-0.3207954586835695,0.020183262693742897,-0.10822013637812608,1.0,0.9569728075308569
Median number of Authors,-0.09770434407024844,0.6233664588628604,0.5903792959308515,0.25885894264592235,-0.426457709197102,-0.5715227015341062,-0.6042740365662735,-0.4258157400484315,-0.6317487826193653,-0.27145389482219817,-0.01947310974249688,-0.03848758416955787,0.9569728075308569,1.0
