Name,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
"Kivshar, Yuri S.",1755,85597,12.0,135,35,76,135,8.95,69.69,2.68,4.0,911,5.2,4.0
"Lindenmayer, David B.",909,55898,25.0,113,15,58,113,32.12,40.15,3.41,2.0,681,5.7,4.0
"Farquhar, Graham Douglas",294,52634,68.0,106,25,51,106,8.5,58.84,2.04,3.0,264,5.3,4.0
"Asplund, Martin B.",370,36194,40.0,96,13,35,96,8.92,24.05,3.24,4.0,292,12.5,7.0
"Fitzgerald, Paul B.",565,31469,27.0,91,14,40,91,19.47,40.35,5.49,4.0,428,6.9,6.0
"Moritz, Craig C.",309,40385,45.0,91,17,43,90,12.3,54.05,4.53,4.0,270,6.0,4.0
"Colless, Matthew M.",284,33566,46.5,89,15,17,87,6.34,10.21,3.87,6.0,224,20.2,18.0
"Ninham, Barry William",447,32968,28.0,87,34,49,87,12.3,57.05,3.8,3.0,349,3.7,3.0
"Freeman, Kenneth C.",350,25638,43.0,88,15,29,87,5.14,28.57,4.0,6.0,281,13.1,8.0
"Williams, I. S.",276,26792,42.0,81,36,38,81,6.16,34.42,1.45,3.0,222,4.9,4.0
"Anderson, Brian D.O.",1012,28330,9.0,80,33,51,80,25.59,49.9,7.11,2.0,492,3.0,3.0
"Rodgers, Bryan C.",211,20160,53.0,80,19,35,79,9.95,38.86,6.16,3.0,188,5.1,5.0
"Dopita, Michael A.",337,25256,26.0,78,15,31,77,26.11,26.71,7.72,3.0,243,8.7,5.0
"Jagadish, Chennupati H.",1274,26190,5.0,76,15,34,75,3.77,50.47,1.1,5.0,506,6.9,6.0
"Schmidt, Brian P.",226,41158,52.0,78,9,13,75,7.52,13.27,4.42,13.5,191,23.2,21.0
"Peterson, Bruce A.",184,24562,56.5,74,12,11,73,2.17,19.57,1.63,14.0,157,20.3,22.0
"von Caemmerer, Susanne",160,25241,57.0,73,25,30,73,17.5,38.12,3.75,3.0,145,5.6,4.0
"Griffiths, Kathleen Margaret",205,18848,40.0,72,16,29,72,18.05,36.1,1.95,3.0,171,5.1,4.0
"Yin, Zongyou",225,31110,28.0,70,29,17,70,12.0,27.56,1.33,4.0,151,8.1,8.0
"Porikli, Fatih Murat",323,21311,15.0,67,18,35,66,17.03,59.13,7.12,3.0,193,5.4,3.0
"Bessell, Michael S.",201,16821,40.0,65,14,25,64,10.45,33.83,4.98,4.0,157,8.7,6.0
"Hartley, Richard I.",264,18384,20.5,62,31,39,62,27.65,49.62,13.26,2.0,173,3.2,3.0
"Mann, Graham J.",345,42274,28.0,89,11,16,61,2.32,11.88,0.29,8.0,257,37.4,16.0
"Peakall, Rod",180,30662,30.0,53,22,30,53,16.67,51.67,3.33,2.0,143,4.0,4.0
"Zheng, Liang",136,22685,31.0,51,30,18,51,16.91,28.68,0.0,2.5,85,4.8,4.0
"Rose, Nikolas",109,19623,36.0,48,39,36,48,55.05,74.31,43.12,1.0,70,2.1,2.0
"Howden, Mark",110,14738,38.5,47,9,15,47,14.55,30.91,0.0,3.0,91,7.4,5.0
"Eyras, Eduardo",117,29237,34.0,48,8,13,45,8.55,34.19,0.85,5.0,88,18.7,7.0
"Wierzbicka, Anna",175,5423,17.0,38,38,37,38,86.86,96.0,85.14,1.0,108,1.2,1.0
"Trudinger, Neil S.",99,4996,26.0,38,25,29,38,53.54,65.66,34.34,1.0,70,1.8,2.0
"Braithwaite, John B.",183,5817,9.0,38,21,33,38,76.5,73.77,54.64,1.0,91,1.7,1.0
"Goodin, Robert E.",223,6850,8.0,37,24,33,37,86.1,69.51,59.64,1.0,100,1.6,1.0
"McClelland, David E.",532,81361,28.5,105,12,14,36,3.01,18.42,0.38,4.0,355,57.3,100.0
"Nolan, Christopher James",115,9625,17.0,37,12,13,36,19.13,21.74,5.22,3.0,66,9.4,6.0
"Noble, Ian R.",70,9221,41.0,36,24,20,36,31.43,62.86,15.71,2.0,53,4.4,3.0
"Huttley, Gavin A.",74,49345,30.0,34,5,9,34,13.51,31.08,2.7,4.0,56,13.9,6.0
"Shaddock, Daniel A.",336,68603,30.5,89,12,14,31,5.95,18.75,3.27,4.0,234,54.0,100.0
"Minh, Bui Quang",50,42987,36.5,29,13,7,28,20.0,20.0,0.0,2.0,36,6.7,5.0
"Kobayashi, Rika",74,4791,16.0,27,16,11,26,28.38,16.22,4.05,2.0,48,7.0,4.0
"Colquhoun, Samantha M.",56,57484,28.5,28,11,4,23,8.93,3.57,0.0,4.0,38,37.6,9.0
"Calabria, Bianca",46,42318,24.0,23,13,4,20,26.09,4.35,0.0,3.0,32,25.0,7.5
"Wagnew, Fasil Shiferaw",64,28973,18.5,25,7,5,19,20.31,6.25,0.0,3.0,45,27.9,8.0
"Ward, Robert L.",332,80058,59.0,102,12,6,18,0.9,0.6,0.0,4.0,278,88.2,100.0
"McRae, Terry G.",189,46649,48.0,72,11,5,16,7.94,1.59,0.0,2.0,148,77.5,100.0
"Scott, Susan M.",314,75885,60.5,99,12,6,13,2.55,4.14,0.0,2.0,255,86.0,100.0
"Qin, Jiayi",77,28817,60.0,47,8,2,7,3.9,0.0,0.0,2.0,68,85.7,100.0
"Yap, Min Jet",149,55375,71.0,72,11,2,7,2.01,0.0,0.0,2.0,135,93.2,100.0
"Eichholz, Johannes M.",180,64846,65.5,77,12,2,6,1.11,0.0,0.0,3.0,166,96.4,100.0
"Wade, Andrew R.",175,65388,72.0,80,12,2,5,4.0,0.0,0.0,2.0,151,89.8,100.0
"Forsyth, Perry W.F.",112,37506,65.5,59,10,1,4,0.89,0.0,0.0,4.0,101,95.9,100.0
