,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.33902134680892015,-0.03610228814861838,0.7642702809560382,0.12409274770214138,0.44645723832127043,0.44158877304906724,-0.4950352501022846,-0.13080885300659548,-0.23620497609675228,0.48613601377504123,0.9608722893621771,0.2454540769837782,0.20092263868244783
Total citations,0.33902134680892015,1.0,0.19837408391596226,0.4467647937927327,0.05946218557574758,0.02628140736057939,0.1374647784702668,-0.21713736067896766,-0.31116445782975327,-0.24908708965940457,0.300466845221483,0.41245765498182496,0.2585035071253006,0.21119090932366605
Median citations,-0.03610228814861838,0.19837408391596226,1.0,0.3854805798288783,-0.03967540554338739,0.0999619576997882,0.054508648826430244,-0.10565956771039435,-0.1945543769057153,0.19809003661925365,0.21034569863000396,0.145944177103403,0.46825292050769296,0.5074755650166718
h-index,0.7642702809560382,0.4467647937927327,0.3854805798288783,1.0,0.23186792392064748,0.5958517981977802,0.6798426616788334,-0.5727595192324877,-0.18405038206620747,-0.198477212979618,0.31081426581334676,0.8146220872710963,0.28711227951580587,0.2647681868061493
h-frac-index,0.12409274770214138,0.05946218557574758,-0.03967540554338739,0.23186792392064748,1.0,0.6292461043282421,0.4456179326157703,0.030570473839055482,0.497749788048776,0.22308017797870106,-0.18228858511824722,0.09157489615636807,-0.39815003311672004,-0.29351185994568585
hm-index,0.44645723832127043,0.02628140736057939,0.0999619576997882,0.5958517981977802,0.6292461043282421,1.0,0.8609293316949299,-0.10612282166059143,0.48665513819127754,0.20461757032855965,-0.18759487618470314,0.39245131154172896,-0.4667182832260649,-0.3820183075618205
h-leadership-index,0.44158877304906724,0.1374647784702668,0.054508648826430244,0.6798426616788334,0.4456179326157703,0.8609293316949299,1.0,-0.27569234810610027,0.17491201689613767,-0.0656362537113076,-0.14569698073925863,0.3764715009626605,-0.44069438065510785,-0.4168723542210292
% first author,-0.4950352501022846,-0.21713736067896766,-0.10565956771039435,-0.5727595192324877,0.030570473839055482,-0.10612282166059143,-0.27569234810610027,1.0,0.3018970948582533,0.7000875950205963,-0.26134415833938746,-0.5090279721224538,-0.39406227854370046,-0.3397531661128152
% last author,-0.13080885300659548,-0.31116445782975327,-0.1945543769057153,-0.18405038206620747,0.497749788048776,0.48665513819127754,0.17491201689613767,0.3018970948582533,1.0,0.5433516504381686,-0.3193776908631347,-0.19243534317166786,-0.5633744063932465,-0.492714899044246
% single author,-0.23620497609675228,-0.24908708965940457,0.19809003661925365,-0.198477212979618,0.22308017797870106,0.20461757032855965,-0.0656362537113076,0.7000875950205963,0.5433516504381686,1.0,-0.15162683354568068,-0.21756246244614622,-0.23070213494799477,-0.18264344552272022
Median author position,0.48613601377504123,0.300466845221483,0.21034569863000396,0.31081426581334676,-0.18228858511824722,-0.18759487618470314,-0.14569698073925863,-0.26134415833938746,-0.3193776908631347,-0.15162683354568068,1.0,0.6040326825554119,0.5652869078423912,0.5123629572291029
i10-index,0.9608722893621771,0.41245765498182496,0.145944177103403,0.8146220872710963,0.09157489615636807,0.39245131154172896,0.3764715009626605,-0.5090279721224538,-0.19243534317166786,-0.21756246244614622,0.6040326825554119,1.0,0.3818793458321678,0.32581205126131024
Average number of Authors,0.2454540769837782,0.2585035071253006,0.46825292050769296,0.28711227951580587,-0.39815003311672004,-0.4667182832260649,-0.44069438065510785,-0.39406227854370046,-0.5633744063932465,-0.23070213494799477,0.5652869078423912,0.3818793458321678,1.0,0.9356835580775866
Median number of Authors,0.20092263868244783,0.21119090932366605,0.5074755650166718,0.2647681868061493,-0.29351185994568585,-0.3820183075618205,-0.4168723542210292,-0.3397531661128152,-0.492714899044246,-0.18264344552272022,0.5123629572291029,0.32581205126131024,0.9356835580775866,1.0
