,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.38901823545477704,-0.2365713274778753,0.7156971372775579,0.41709690941016536,0.6273107429059221,0.5000516519596501,-0.24703157066560016,0.3348211333927304,-0.12833019758490302,-0.06927115874026246,0.9410287773561886,-0.13440013806284484,-0.16053783700059734
Total citations,0.38901823545477704,1.0,0.38855170784119736,0.6769073366687569,0.338234546525774,0.09265823399360607,0.18787884640305758,-0.43520559291298916,-0.2172659532504965,-0.3628315548946434,-0.06074948298086045,0.5144266137375226,0.4618555667808408,0.46151272360034695
Median citations,-0.2365713274778753,0.38855170784119736,1.0,-0.03412951684060561,0.0454097772041774,-0.22399375027776747,-0.1562904412228501,-0.08737576537040037,-0.32915569382189697,-0.17410712908618686,-0.08865716199459382,-0.1362256711443915,0.3928970412957876,0.39688122177726337
h-index,0.7156971372775579,0.6769073366687569,-0.03412951684060561,1.0,0.5996433511820105,0.6378114059093497,0.7126250845514776,-0.41656540957191485,0.20537867773626134,-0.29202392945285616,-0.04542640758834645,0.8117748587071183,-0.07984981123772361,-0.08190415011531038
h-frac-index,0.41709690941016536,0.338234546525774,0.0454097772041774,0.5996433511820105,1.0,0.7491346370537629,0.7205720471745939,0.019363811723994716,0.36297264087408143,0.023069116093398755,-0.17117470985446556,0.39631008845340343,-0.41944684822256845,-0.35315685459969
hm-index,0.6273107429059221,0.09265823399360607,-0.22399375027776747,0.6378114059093497,0.7491346370537629,1.0,0.8753448950306058,0.08153868417523896,0.6702649255726185,0.12160198100107075,-0.18058916997097924,0.5759555643806381,-0.6760984859790473,-0.6494926655144597
h-leadership-index,0.5000516519596501,0.18787884640305758,-0.1562904412228501,0.7126250845514776,0.7205720471745939,0.8753448950306058,1.0,-0.15026478259947929,0.53099008233666,-0.11450003934397039,0.0008684003336530838,0.48288036044110405,-0.6620808013237502,-0.6325434283068705
% first author,-0.24703157066560016,-0.43520559291298916,-0.08737576537040037,-0.41656540957191485,0.019363811723994716,0.08153868417523896,-0.15026478259947929,1.0,0.4120699951525064,0.88101233665265,-0.1670370307700817,-0.31363680320334236,-0.30113523903018213,-0.26995043747555797
% last author,0.3348211333927304,-0.2172659532504965,-0.32915569382189697,0.20537867773626134,0.36297264087408143,0.6702649255726185,0.53099008233666,0.4120699951525064,1.0,0.5319472686466915,-0.18529879907005442,0.2094199195995724,-0.6710206963946482,-0.6377003496741166
% single author,-0.12833019758490302,-0.3628315548946434,-0.17410712908618686,-0.29202392945285616,0.023069116093398755,0.12160198100107075,-0.11450003934397039,0.88101233665265,0.5319472686466915,1.0,-0.09876107656110532,-0.1814537386808356,-0.2533259128350751,-0.22691654413208018
Median author position,-0.06927115874026246,-0.06074948298086045,-0.08865716199459382,-0.04542640758834645,-0.17117470985446556,-0.18058916997097924,0.0008684003336530838,-0.1670370307700817,-0.18529879907005442,-0.09876107656110532,1.0,-0.08052082691997971,0.24821102659060318,0.291042912000376
i10-index,0.9410287773561886,0.5144266137375226,-0.1362256711443915,0.8117748587071183,0.39631008845340343,0.5759555643806381,0.48288036044110405,-0.31363680320334236,0.2094199195995724,-0.1814537386808356,-0.08052082691997971,1.0,-0.02919469689698129,-0.07242317758948877
Average number of Authors,-0.13440013806284484,0.4618555667808408,0.3928970412957876,-0.07984981123772361,-0.41944684822256845,-0.6760984859790473,-0.6620808013237502,-0.30113523903018213,-0.6710206963946482,-0.2533259128350751,0.24821102659060318,-0.02919469689698129,1.0,0.9800040195596066
Median number of Authors,-0.16053783700059734,0.46151272360034695,0.39688122177726337,-0.08190415011531038,-0.35315685459969,-0.6494926655144597,-0.6325434283068705,-0.26995043747555797,-0.6377003496741166,-0.22691654413208018,0.291042912000376,-0.07242317758948877,0.9800040195596066,1.0
