,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.5895924052570136,-0.18630496351986994,0.7990598225648899,0.1853717943694466,0.7153355812513769,0.7867045603486222,-0.23847516867301516,0.3344652412233853,0.00945500648333963,0.26566080295656924,0.9833133373106135,-0.1681182826995298,-0.21447125748156745
Total citations,0.5895924052570136,1.0,0.1958234870282747,0.727000897740328,0.1910918929512079,0.43990866737211026,0.6465159966199341,-0.29402114292877646,0.10172285955644862,-0.13966056909404403,0.2693016516396168,0.6309275116183536,0.05633153513118699,-0.050733301296988914
Median citations,-0.18630496351986994,0.1958234870282747,1.0,0.14593551333281377,0.11404823081814333,0.05401736432997097,0.09460870329909463,-0.09879724894481595,-0.0629131015030693,-0.0396847780414391,-0.11447079565059028,-0.07638062055467218,0.20363535538233066,0.2609907545288955
h-index,0.7990598225648899,0.727000897740328,0.14593551333281377,1.0,0.3378526058954169,0.785671331671802,0.966186967410625,-0.23485124914666786,0.3805714959414368,0.053408058353512186,0.27174399464017907,0.849311679270313,-0.18191336092586832,-0.25345980990960193
h-frac-index,0.1853717943694466,0.1910918929512079,0.11404823081814333,0.3378526058954169,1.0,0.6442762833144383,0.4121297126076012,0.3544333386017834,0.7248855639736975,0.404569793594653,-0.4432251671733047,0.19062454381913674,-0.4732810758352645,-0.31577776541921043
hm-index,0.7153355812513769,0.43990866737211026,0.05401736432997097,0.785671331671802,0.6442762833144383,1.0,0.8381090285565725,0.13201784881120524,0.7505528322588727,0.34000015136536244,-0.22404008810876905,0.748605549690072,-0.5052142886939651,-0.4195021234567347
h-leadership-index,0.7867045603486222,0.6465159966199341,0.09460870329909463,0.966186967410625,0.4121297126076012,0.8381090285565725,1.0,-0.1274733106836829,0.47790997543620906,0.11815037627188435,0.2032894513720243,0.8265677027440846,-0.40092185391508056,-0.42906280536642144
% first author,-0.23847516867301516,-0.29402114292877646,-0.09879724894481595,-0.23485124914666786,0.3544333386017834,0.13201784881120524,-0.1274733106836829,1.0,0.28174310482265413,0.7659793424466176,-0.6470265344756263,-0.2401198811054813,-0.42313285814499507,-0.2763284964313918
% last author,0.3344652412233853,0.10172285955644862,-0.0629131015030693,0.3805714959414368,0.7248855639736975,0.7505528322588727,0.47790997543620906,0.28174310482265413,1.0,0.4587964189342605,-0.4188473856227898,0.32081025198327795,-0.6527286085705892,-0.5280056712486891
% single author,0.00945500648333963,-0.13966056909404403,-0.0396847780414391,0.053408058353512186,0.404569793594653,0.34000015136536244,0.11815037627188435,0.7659793424466176,0.4587964189342605,1.0,-0.43828338369802694,0.007909303095942052,-0.35338474766457695,-0.24738885129225957
Median author position,0.26566080295656924,0.2693016516396168,-0.11447079565059028,0.27174399464017907,-0.4432251671733047,-0.22404008810876905,0.2032894513720243,-0.6470265344756263,-0.4188473856227898,-0.43828338369802694,1.0,0.27455779889014725,0.5194991977519623,0.1128736189523273
i10-index,0.9833133373106135,0.6309275116183536,-0.07638062055467218,0.849311679270313,0.19062454381913674,0.748605549690072,0.8265677027440846,-0.2401198811054813,0.32081025198327795,0.007909303095942052,0.27455779889014725,1.0,-0.14362362276651489,-0.1956473818577473
Average number of Authors,-0.1681182826995298,0.05633153513118699,0.20363535538233066,-0.18191336092586832,-0.4732810758352645,-0.5052142886939651,-0.40092185391508056,-0.42313285814499507,-0.6527286085705892,-0.35338474766457695,0.5194991977519623,-0.14362362276651489,1.0,0.9130809940014807
Median number of Authors,-0.21447125748156745,-0.050733301296988914,0.2609907545288955,-0.25345980990960193,-0.31577776541921043,-0.4195021234567347,-0.42906280536642144,-0.2763284964313918,-0.5280056712486891,-0.24738885129225957,0.1128736189523273,-0.1956473818577473,0.9130809940014807,1.0
