,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.5220180532264751,-0.2886676340152458,0.8616951125514593,0.35699785111646404,0.7504649306664476,0.8412163942695869,-0.18559362180241248,0.3252795237656335,-0.008581365111931326,0.24012249679815298,0.9731429169599098,-0.10702406195210261,0.015678517774477888
Total citations,0.5220180532264751,1.0,-0.06015061283829065,0.6068468670388291,0.17619492365999972,0.2616858005710868,0.4416820339498201,-0.21394414848551122,-0.05411003557098611,-0.1514300679677705,0.16032436559147942,0.5430064812179751,0.47103894210752195,0.23851535072072452
Median citations,-0.2886676340152458,-0.06015061283829065,1.0,0.06341675407175572,0.15986346690244146,0.06934076868598509,0.09229539250825773,-0.021902390483567003,0.1293176857615694,-0.103586795946404,-0.08217899104567397,-0.14558100998190773,-0.05208299801663849,-0.20367471360295297
h-index,0.8616951125514593,0.6068468670388291,0.06341675407175572,1.0,0.42491249134591225,0.7972762326450339,0.9754215453297308,-0.31231139013768106,0.3846139999201633,-0.08617645387857108,0.3057045999594227,0.9169518527550966,-0.10984126949118421,0.04296805134757625
h-frac-index,0.35699785111646404,0.17619492365999972,0.15986346690244146,0.42491249134591225,1.0,0.5896911081233203,0.46283327569585697,0.21444338588170428,0.5908249402217763,0.3249342054143728,-0.21233044776509702,0.32869170472057724,-0.3821387260067528,-0.40417622609400017
hm-index,0.7504649306664476,0.2616858005710868,0.06934076868598509,0.7972762326450339,0.5896911081233203,1.0,0.8399087581667761,0.14386060409808019,0.7329366543477102,0.34904901188601734,-0.14208307244986607,0.792102412157262,-0.475276832659723,-0.47336202508229
h-leadership-index,0.8412163942695869,0.4416820339498201,0.09229539250825773,0.9754215453297308,0.46283327569585697,0.8399087581667761,1.0,-0.28548622157663056,0.43442993292990334,-0.062350961193438616,0.28162004606824037,0.8978111201307563,-0.25155120236466827,-0.015825160252830765
% first author,-0.18559362180241248,-0.21394414848551122,-0.021902390483567003,-0.31231139013768106,0.21444338588170428,0.14386060409808019,-0.28548622157663056,1.0,0.25533411447239607,0.8421083713656372,-0.7783468540859729,-0.2365303985026234,-0.27484187500965923,-0.6639725029682134
% last author,0.3252795237656335,-0.05411003557098611,0.1293176857615694,0.3846139999201633,0.5908249402217763,0.7329366543477102,0.43442993292990334,0.25533411447239607,1.0,0.520447479322855,-0.21221764598878654,0.3543821581993489,-0.5855430517650865,-0.6303967633983562
% single author,-0.008581365111931326,-0.1514300679677705,-0.103586795946404,-0.08617645387857108,0.3249342054143728,0.34904901188601734,-0.062350961193438616,0.8421083713656372,0.520447479322855,1.0,-0.5518649757449021,-0.04743966049097696,-0.34104002851015724,-0.6066429367935873
Median author position,0.24012249679815298,0.16032436559147942,-0.08217899104567397,0.3057045999594227,-0.21233044776509702,-0.14208307244986607,0.28162004606824037,-0.7783468540859729,-0.21221764598878654,-0.5518649757449021,1.0,0.26566646077866307,0.3137035818902875,0.7869602364729503
i10-index,0.9731429169599098,0.5430064812179751,-0.14558100998190773,0.9169518527550966,0.32869170472057724,0.792102412157262,0.8978111201307563,-0.2365303985026234,0.3543821581993489,-0.04743966049097696,0.26566646077866307,1.0,-0.1144129276053533,0.031246129825078153
Average number of Authors,-0.10702406195210261,0.47103894210752195,-0.05208299801663849,-0.10984126949118421,-0.3821387260067528,-0.475276832659723,-0.25155120236466827,-0.27484187500965923,-0.5855430517650865,-0.34104002851015724,0.3137035818902875,-0.1144129276053533,1.0,0.5792095367311081
Median number of Authors,0.015678517774477888,0.23851535072072452,-0.20367471360295297,0.04296805134757625,-0.40417622609400017,-0.47336202508229,-0.015825160252830765,-0.6639725029682134,-0.6303967633983562,-0.6066429367935873,0.7869602364729503,0.031246129825078153,0.5792095367311081,1.0
