,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.16894562332473295,-0.3185158677525213,0.7834659750358705,0.39178331620695667,0.8209301466154713,0.7879371406193448,-0.2732783244501,0.4776880238196813,0.05493791094550607,0.1409926563564323,0.9706638880377951,-0.3705706978121565,-0.2606297583358478
Total citations,0.16894562332473295,1.0,0.33463865908818313,0.2942272285924697,-0.04290511197028958,-0.13728700996499743,0.05933728009962719,-0.11329958203562343,-0.314206957659944,-0.08596716265144312,0.32108923038784376,0.1847525023897306,0.4933316513992568,0.13332444012922262
Median citations,-0.3185158677525213,0.33463865908818313,1.0,-0.16220967738565398,-0.10915127233511959,-0.3750005020791155,-0.2311516111810101,0.033060480185349954,-0.4441589538498152,-0.31008729581013456,0.12503267092629927,-0.2716383466130676,0.5134928260091493,0.32912005669782335
h-index,0.7834659750358705,0.2942272285924697,-0.16220967738565398,1.0,0.2551156983239376,0.7402117366731694,0.933530003213224,-0.4685985053257478,0.2963490000462577,-0.12256337936748174,0.5052031036658183,0.8712654465319549,-0.2457655392623752,-0.1817504748780125
h-frac-index,0.39178331620695667,-0.04290511197028958,-0.10915127233511959,0.2551156983239376,1.0,0.5102058355947396,0.34624088869272135,-0.018186708381764557,0.424851707663863,0.08179689155234536,-0.23712552684010144,0.3649787847090129,-0.3849354747400113,-0.26963983933657737
hm-index,0.8209301466154713,-0.13728700996499743,-0.3750005020791155,0.7402117366731694,0.5102058355947396,1.0,0.8691066271970047,-0.16971010007770704,0.755909054851232,0.1945036893145527,-0.07835180608988909,0.8315844253950481,-0.6975967616246366,-0.46803175192795893
h-leadership-index,0.7879371406193448,0.05933728009962719,-0.2311516111810101,0.933530003213224,0.34624088869272135,0.8691066271970047,1.0,-0.3472432553485012,0.4816367025773384,-0.034841101322331654,0.3583825270997095,0.8637377592390226,-0.5323533525607558,-0.40216040944828496
% first author,-0.2732783244501,-0.11329958203562343,0.033060480185349954,-0.4685985053257478,-0.018186708381764557,-0.16971010007770704,-0.3472432553485012,1.0,0.10546561547192569,0.5521034203957279,-0.5599289608354686,-0.37439132639747685,-0.1932326791893644,-0.28335626114274004
% last author,0.4776880238196813,-0.314206957659944,-0.4441589538498152,0.2963490000462577,0.424851707663863,0.755909054851232,0.4816367025773384,0.10546561547192569,1.0,0.5907411296969365,-0.36616099598966134,0.44089996810220555,-0.7390640343977257,-0.505209008042029
% single author,0.05493791094550607,-0.08596716265144312,-0.31008729581013456,-0.12256337936748174,0.08179689155234536,0.1945036893145527,-0.034841101322331654,0.5521034203957279,0.5907411296969365,1.0,-0.38435617069901057,-0.044477420552345034,-0.33061828152788525,-0.2787051818706311
Median author position,0.1409926563564323,0.32108923038784376,0.12503267092629927,0.5052031036658183,-0.23712552684010144,-0.07835180608988909,0.3583825270997095,-0.5599289608354686,-0.36616099598966134,-0.38435617069901057,1.0,0.25763832766228184,0.3312473151637432,0.2176755605045681
i10-index,0.9706638880377951,0.1847525023897306,-0.2716383466130676,0.8712654465319549,0.3649787847090129,0.8315844253950481,0.8637377592390226,-0.37439132639747685,0.44089996810220555,-0.044477420552345034,0.25763832766228184,1.0,-0.3557064764309607,-0.24029748321238814
Average number of Authors,-0.3705706978121565,0.4933316513992568,0.5134928260091493,-0.2457655392623752,-0.3849354747400113,-0.6975967616246366,-0.5323533525607558,-0.1932326791893644,-0.7390640343977257,-0.33061828152788525,0.3312473151637432,-0.3557064764309607,1.0,0.8333616761470082
Median number of Authors,-0.2606297583358478,0.13332444012922262,0.32912005669782335,-0.1817504748780125,-0.26963983933657737,-0.46803175192795893,-0.40216040944828496,-0.28335626114274004,-0.505209008042029,-0.2787051818706311,0.2176755605045681,-0.24029748321238814,0.8333616761470082,1.0
