,Median author position
Publications,0.18940431118144258
Total citations,0.399291996627181
Median citations,0.12698876516909188
h-index,0.39945590252663865
h-frac-index,-0.15711889650221422
hm-index,0.0024863721177731863
h-leadership-index,0.25212547316350487
h-adjusted,-0.5257855355888031
h-leaderhip-adjusted,-0.5202844249504317
% first author,-0.5122444223011698
% last author,-0.4317278157694551
% single author,-0.4263258796233804
i10-index,0.1965997833838334
Average number of Authors,0.14782219037015282
Median number of Authors,0.10287084934171975
