,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.5824804783238607,-0.048803944776094496,0.7184478657551128,-0.08794378140836305,0.4774834561046442,0.423871547441608,-0.28856215105794175,0.054589326079760206,-0.1991019353896424,0.1370037606036196,0.9030106475071827,0.22015168604063284,0.2531083341189006
Total citations,0.5824804783238607,1.0,0.31826460885168645,0.7397177138170143,-0.14349470064905684,0.2534629725430193,0.42508623264443995,-0.2936532169715673,-0.2905889178032992,-0.2279084851131976,0.3596120794310383,0.6807169531431265,0.31830018104269275,0.2169024885388529
Median citations,-0.048803944776094496,0.31826460885168645,1.0,0.5187937287811729,-0.05104661325016887,-0.01490910024727552,0.14353018990149302,-0.3894062714646114,-0.4665236607130387,-0.2984444267207473,0.14092774491317697,0.2789381220265797,0.425936599254133,0.41649168483381976
h-index,0.7184478657551128,0.7397177138170143,0.5187937287811729,1.0,-0.03993592603467111,0.5247295147166366,0.6569548308925321,-0.42473598501237736,-0.2006951672030445,-0.3169400991779698,0.3169610083783109,0.855807695848556,0.29588519484413905,0.28902003991801006
h-frac-index,-0.08794378140836305,-0.14349470064905684,-0.05104661325016887,-0.03993592603467111,1.0,0.4303759805272138,0.2615169320701075,0.21677584791368432,0.4017030268178536,0.16409900240745143,-0.25692750374264023,-0.17038388959845713,-0.4546082905997401,-0.3926192270239666
hm-index,0.4774834561046442,0.2534629725430193,-0.01490910024727552,0.5247295147166366,0.4303759805272138,1.0,0.8151756826153117,0.13365151755251606,0.51040886837528,0.09910995528612238,-0.1898229589750607,0.43133718888507716,-0.5142240197109823,-0.458914846724759
h-leadership-index,0.423871547441608,0.42508623264443995,0.14353018990149302,0.6569548308925321,0.2615169320701075,0.8151756826153117,1.0,-0.19723248010873262,0.1793191984886299,-0.1957772875157689,0.2795919338819532,0.39490726734902654,-0.49691690794662663,-0.5127657855277821
% first author,-0.28856215105794175,-0.2936532169715673,-0.3894062714646114,-0.42473598501237736,0.21677584791368432,0.13365151755251606,-0.19723248010873262,1.0,0.6086509167331153,0.9208896741324178,-0.521618950974906,-0.36178009229241975,-0.3278171988621491,-0.2952249831695597
% last author,0.054589326079760206,-0.2905889178032992,-0.4665236607130387,-0.2006951672030445,0.4017030268178536,0.51040886837528,0.1793191984886299,0.6086509167331153,1.0,0.6143802632772588,-0.41295919525894065,-0.15173136263839068,-0.5763852081090826,-0.49746706869009505
% single author,-0.1991019353896424,-0.2279084851131976,-0.2984444267207473,-0.3169400991779698,0.16409900240745143,0.09910995528612238,-0.1957772875157689,0.9208896741324178,0.6143802632772588,1.0,-0.43199225033674765,-0.24869610496571723,-0.20561237329628107,-0.16762928560049206
Median author position,0.1370037606036196,0.3596120794310383,0.14092774491317697,0.3169610083783109,-0.25692750374264023,-0.1898229589750607,0.2795919338819532,-0.521618950974906,-0.41295919525894065,-0.43199225033674765,1.0,0.14614891919391693,0.1844651385410498,0.06783411166452684
i10-index,0.9030106475071827,0.6807169531431265,0.2789381220265797,0.855807695848556,-0.17038388959845713,0.43133718888507716,0.39490726734902654,-0.36178009229241975,-0.15173136263839068,-0.24869610496571723,0.14614891919391693,1.0,0.42343097954735864,0.4524217325373204
Average number of Authors,0.22015168604063284,0.31830018104269275,0.425936599254133,0.29588519484413905,-0.4546082905997401,-0.5142240197109823,-0.49691690794662663,-0.3278171988621491,-0.5763852081090826,-0.20561237329628107,0.1844651385410498,0.42343097954735864,1.0,0.9669447157560934
Median number of Authors,0.2531083341189006,0.2169024885388529,0.41649168483381976,0.28902003991801006,-0.3926192270239666,-0.458914846724759,-0.5127657855277821,-0.2952249831695597,-0.49746706869009505,-0.16762928560049206,0.06783411166452684,0.4524217325373204,0.9669447157560934,1.0
