,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,i10-index,Average number of Authors,Median number of Authors
Publications,1.0,0.4769884410934347,-0.37099985715520595,0.7851692997482884,0.28048237175647917,0.5888223432206001,0.6692421988241889,-0.1205002450484392,0.13561762065845975,0.0774713947396018,-0.09194053655868185,0.9767332197353092,-0.21915774998436452,-0.19641756140672736
Total citations,0.4769884410934347,1.0,0.06462405444335223,0.6716107675913202,0.08400556648437983,0.018552326473001424,0.1662753544873127,0.012800577432685407,-0.3010395656932208,0.1530204629691314,0.13276303806788298,0.4649537903460247,0.33137932980483076,0.28044757215977056
Median citations,-0.37099985715520595,0.06462405444335223,1.0,0.0990694443555722,0.10626879322077654,-0.16525668679800126,-0.0489556460225139,0.056633636666799096,-0.14478669391948065,-0.04644136972555113,0.20806428008369804,-0.2517722855082922,0.2552912213868326,0.2799649214044114
h-index,0.7851692997482884,0.6716107675913202,0.0990694443555722,1.0,0.37509980920285085,0.5048946876416224,0.67740037649421,-0.10198678264251401,0.00607279872210904,0.06209708894949384,0.01166654872706348,0.8572457074658127,-0.029128449707607855,-0.010253371519979342
h-frac-index,0.28048237175647917,0.08400556648437983,0.10626879322077654,0.37509980920285085,1.0,0.6838933560926205,0.4969004375431525,0.2665118496992112,0.4516324443547867,0.21335162653851608,-0.1382963526753543,0.3493444406424574,-0.40915634505899445,-0.3083009183956619
hm-index,0.5888223432206001,0.018552326473001424,-0.16525668679800126,0.5048946876416224,0.6838933560926205,1.0,0.8048809271575321,0.37136765774527486,0.7312836673882891,0.40277605312876646,-0.313856683348308,0.6445643414335834,-0.7156358722892676,-0.6323099128227778
h-leadership-index,0.6692421988241889,0.1662753544873127,-0.0489556460225139,0.67740037649421,0.4969004375431525,0.8048809271575321,1.0,0.15329082754088422,0.4427994462151829,0.19937944916842784,-0.08297915852587304,0.7308532831112847,-0.6556928907019827,-0.6652647656842597
% first author,-0.1205002450484392,0.012800577432685407,0.056633636666799096,-0.10198678264251401,0.2665118496992112,0.37136765774527486,0.15329082754088422,1.0,0.439291586949321,0.8312118413637906,-0.29414530044523995,-0.13678547619846065,-0.44705796280134574,-0.44132567893050706
% last author,0.13561762065845975,-0.3010395656932208,-0.14478669391948065,0.00607279872210904,0.4516324443547867,0.7312836673882891,0.4427994462151829,0.439291586949321,1.0,0.4211766496825713,-0.2751768427427214,0.15023674953127225,-0.7290502828675094,-0.6440167817667637
% single author,0.0774713947396018,0.1530204629691314,-0.04644136972555113,0.06209708894949384,0.21335162653851608,0.40277605312876646,0.19937944916842784,0.8312118413637906,0.4211766496825713,1.0,-0.1780058787918488,0.0529584008931352,-0.3258633622570141,-0.33107634550982135
Median author position,-0.09194053655868185,0.13276303806788298,0.20806428008369804,0.01166654872706348,-0.1382963526753543,-0.313856683348308,-0.08297915852587304,-0.29414530044523995,-0.2751768427427214,-0.1780058787918488,1.0,-0.08507730780547466,0.4416951127668387,0.3739608495641987
i10-index,0.9767332197353092,0.4649537903460247,-0.2517722855082922,0.8572457074658127,0.3493444406424574,0.6445643414335834,0.7308532831112847,-0.13678547619846065,0.15023674953127225,0.0529584008931352,-0.08507730780547466,1.0,-0.2188121702596131,-0.19288015278258328
Average number of Authors,-0.21915774998436452,0.33137932980483076,0.2552912213868326,-0.029128449707607855,-0.40915634505899445,-0.7156358722892676,-0.6556928907019827,-0.44705796280134574,-0.7290502828675094,-0.3258633622570141,0.4416951127668387,-0.2188121702596131,1.0,0.9526486053184894
Median number of Authors,-0.19641756140672736,0.28044757215977056,0.2799649214044114,-0.010253371519979342,-0.3083009183956619,-0.6323099128227778,-0.6652647656842597,-0.44132567893050706,-0.6440167817667637,-0.33107634550982135,0.3739608495641987,-0.19288015278258328,0.9526486053184894,1.0
