Name,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,cscore,i10-index,Average number of Authors,Median number of Authors
"Jain, Anil",100,80152,407.0,100,47,36.71709956709956,100,30.0,55.00000000000001,2.0,2.0,5.156286756002111,100,3.24,3.0
"Bengio, Yoshua",100,293961,672.0,100,39,28.19054533429532,100,18.0,62.0,4.0,3.0,5.146155405607097,100,5.44,4.0
"Poor, H. Vincent",100,48226,318.0,100,100,100.0,100,100.0,100.0,100.0,1.0,4.642852415955082,100,1.0,1.0
"Herrera, Francisco",100,63330,414.5,100,84,33.33333333333329,100,0.0,0.0,0.0,2.0,4.747378331025581,100,3.0,3.0
"Han, Jiawei",100,58691,317.0,100,95,50.0,100,100.0,0.0,0.0,1.0,4.673319000259473,100,2.0,2.0
"Tao, Dacheng",100,39202,300.5,100,55,19.99999999999996,100,0.0,0.0,0.0,4.0,4.005193442435607,100,5.0,5.0
"Gool, Luc Van",100,86554,349.5,100,66,25.0,100,0.0,0.0,0.0,3.0,4.116790705882273,100,4.0,4.0
"Zisserman, Andrew",100,125423,461.5,100,79,33.33333333333329,100,0.0,100.0,0.0,3.0,3.980520801803188,100,3.0,3.0
"Cao, Jinde",100,24664,217.0,100,83,50.0,100,100.0,0.0,0.0,1.0,4.80719599561725,100,2.0,2.0
"Yu, Philip S.",100,50460,301.0,100,91,50.0,100,100.0,0.0,0.0,1.0,4.306953794926105,100,2.0,2.0
"Jordan, Michael I.",100,101802,385.5,100,100,100.0,100,100.0,100.0,100.0,1.0,4.737260318543093,100,1.0,1.0
"Xu, Zeshui",100,41234,297.0,100,90,50.0,100,100.0,0.0,0.0,1.0,5.024175434362496,100,2.0,2.0
"Huang, Thomas S.",100,58198,313.0,100,100,100.0,100,100.0,100.0,100.0,1.0,4.522978773648665,100,1.0,1.0
"Malik, Jitendra",100,112854,404.5,100,94,50.0,100,100.0,0.0,0.0,1.0,4.486204703378364,100,2.0,2.0
"Wang, Xiaogang",100,64395,332.5,100,93,50.0,100,0.0,100.0,0.0,2.0,4.453636431742206,100,2.0,2.0
"Giannakis, Georgios B.",100,32996,222.0,100,82,50.0,100,100.0,0.0,0.0,1.0,4.511655659820167,100,2.0,2.0
"Buyya, Rajkumar",100,54198,273.0,100,66,33.33333333333329,100,0.0,0.0,0.0,2.0,4.589928426516021,100,3.0,3.0
"van der Aalst, Wil M.P.",100,37697,224.0,100,100,100.0,100,100.0,100.0,100.0,1.0,4.935747839548496,100,1.0,1.0
"Vasilakos, Athanasios V.",100,30419,225.0,100,83,50.0,100,100.0,0.0,0.0,1.0,3.986868337250316,100,2.0,2.0
"Shen, Xuemin",100,27091,218.5,100,80,50.0,100,0.0,100.0,0.0,2.0,4.311428863531004,100,2.0,2.0
"Yang, Ming Hsuan",100,63005,375.5,100,94,50.0,100,0.0,100.0,0.0,2.0,4.529720429871332,100,2.0,2.0
"Yan, Shuicheng",100,41742,242.0,100,66,33.33333333333329,100,0.0,100.0,0.0,3.0,3.92008839604375,100,3.0,3.0
